,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
18,S,E,-23.692064615846768,55.384129231693535,57.64392666153968,28.04458020674767,12.925905366273055,0.9944221567741193,0.9949564768469534
9,IFRGSB,None,-24.530773280485725,55.06154656097145,56.75639463335606,27.315683498293577,16.355820544602185,0.9942859992928197,0.9920253892435601
58,TL,E,-23.708284319540148,55.416568639080296,57.67636606892644,29.941612867294477,11.266042556537315,0.9941474237666788,0.9948927532660687
36,DW3,C,-23.925636066711085,55.85127213342217,58.111069563268316,27.361730024458602,13.893667910636962,0.9938109995055137,0.9940388269611808
20,S,C,-24.1177625854557,56.2355251709114,58.49532260075755,29.759359923246464,12.018316578051165,0.9929547528633594,0.9932840049256646
60,TL,C,-24.137137070425048,56.274274140850096,58.53407157069624,29.90916270514156,14.542917386448917,0.9928793952823838,0.9932078869161509
41,GM,None,-25.164756381754067,54.329512763508134,55.45941147843121,43.47651466222125,14.180581366416462,0.9927393001812405,0.9891706009371954
33,DW3,None,-24.97210947892028,55.94421895784056,57.63906703022517,36.36576992031854,17.17350323811146,0.9918959061380874,0.989927467445177
51,NB2,F,-24.637756601875218,55.275513203750435,56.970361276135044,52.7093584027336,13.244504146075169,0.9909350615967706,0.9912410649687304
57,TL,None,-25.164756381754053,56.329512763508106,58.024360835892715,43.47651466222076,17.25904237259295,0.9904750661263422,0.9891706009371956
17,S,None,-25.145260572095275,56.29052114419055,57.98536921657516,44.379747754546884,16.58079823663296,0.9904249831116951,0.9892471956042246
55,NB2,"F, C",-24.611503545093107,57.223007090186215,59.48280452003236,49.87280621077854,12.423158804210749,0.9890875570359401,0.99134420734537
53,NB2,"E, F",-24.61334828565989,57.22669657131978,59.48649400116592,56.890221802006245,12.891866078855635,0.9882437536671942,0.9913369597730998
56,NB2,"E, F, C",-24.569916114967775,59.13983222993555,61.96457901724323,54.41342479197963,12.25261090408035,0.9864042214889618,0.9868745585504473
49,NB2,None,-27.72147953843497,59.44295907686994,60.57285779179301,107.77854888209197,21.11129792156129,0.9774746777407775,0.9791258086306083
52,NB2,C,-27.338973385467362,60.677946770934724,62.37279484331933,98.37785814660772,20.384113550016295,0.9774679415964835,0.9806285895838418
54,NB2,"E, C",-26.90753631547644,61.81507263095288,64.07487006079903,107.32033604237388,20.34051078728646,0.9754149685038507,0.9823236091443668
50,NB2,E,-27.31384432357742,60.62768864715484,62.32253671953945,117.4819403280885,21.071832969958397,0.9752602101779146,0.9807273160364436
29,DW2,"E, F",-30.26954061126016,68.53908122252032,70.79887865236647,169.78618595005256,15.537456992541712,0.9579813765265338,0.9691150477102684
27,DW2,F,-30.439618971699268,66.87923794339854,68.57408601578315,192.52053463085562,16.09953491425232,0.9570252387402436,0.9684468479476185
31,DW2,"F, C",-30.420281880760562,68.84056376152112,71.10036119136727,185.1120698418125,13.72080061103124,0.9557034039274681,0.968522819044366
32,DW2,"E, F, C",-30.268537169142682,70.53707433828536,73.36182112559305,170.74000669621745,15.171470054068221,0.9556061707754896,0.9642455874727099
30,DW2,"E, C",-40.26326189720489,88.52652379440978,90.78632122425593,484.23878186757327,27.254612649852533,0.8907757519760309,0.9296496295183024
28,DW2,C,-41.06456269193023,88.12912538386045,89.82397345624507,513.3430491180407,27.067730485527427,0.8871865353612249,0.9267038251803634
26,DW2,E,-41.39226415482724,88.78452830965448,90.47937638203909,536.5870648002456,27.724254275348333,0.8834377927867121,0.9254163595723787
25,DW2,None,-41.99723893914332,87.99447787828665,89.12437659320972,557.7156160029349,27.44627111306571,0.8813836611789441,0.923039549223046
6,IFR SB,"E, C",-66.20862250440885,140.4172450088177,142.67704243866385,357.74379400503426,28.884001940102166,0.8289378392369451,0.8279184491020891
8,IFR SB,"E, F, C",-66.1599908582256,142.3199817164512,145.14472850375887,360.690128533048,28.883542011620758,0.8264658560276035,0.8241645650000486
7,IFR SB,"F, C",-74.09671620021155,156.1934324004231,158.45322983026924,452.414863603098,28.957936139755503,0.7942332462936943,0.7952984853372411
5,IFR SB,"E, F",-76.60284095384318,161.20568190768637,163.4654793375325,432.75434822921125,28.967108705449572,0.7891492358106982,0.7867093616830126
4,IFR SB,C,-79.67448127612738,165.34896255225476,167.04381062463938,476.3765149591551,28.96910528378611,0.7770922001430401,0.7773852459308822
3,IFR SB,F,-86.95476191063534,179.90952382127068,181.6043718936553,510.3537753796933,28.99343304993941,0.7514410352292132,0.7493324069484052
2,IFR SB,E,-93.02326866983668,192.04653733967336,193.74138541205798,528.6885593301611,28.964231342102913,0.7312525087407004,0.7252346361660481
1,IFR SB,None,-276.940532737585,557.88106547517,559.0109641900931,2102.7883292421197,28.999999996379472,0.0,0.0
